start_time,end_time,note_value,velocity,instrument_program_number
4.072679,4.37877,62,53,0
4.37877,4.6743364,64,54,0
4.6743364,4.978905,66,56,0
4.978905,5.289786,67,57,0
5.289786,5.5882936,69,59,0
5.5882936,5.886801,70,61,0
5.886801,6.1853085,72,63,0
6.1853085,6.506164,74,65,0
6.506164,6.796019,79,68,0
6.796019,7.0945263,78,66,0
7.0945263,7.4223957,79,58,0
7.4223957,8.625591,74,53,0
8.929943,9.239006,74,56,0
9.239006,9.554132,69,59,0
9.554132,9.874988,72,51,0
9.239006,9.874988,67,31,0
9.239006,9.874988,63,31,0
9.874988,10.17759,70,53,0
9.874988,10.17759,67,45,0
9.874988,10.17759,62,45,0
11.421039,11.734322,70,53,0
11.734322,12.049448,66,57,0
12.049448,12.3645735,69,49,0
11.734322,12.3645735,60,46,0
12.3645735,13.608495,67,53,0
12.3645735,13.608495,58,47,0
13.92455,14.230641,62,52,0
14.230641,14.529149,64,54,0
14.529149,14.833717,66,55,0
14.230641,14.833717,60,48,0
14.833717,15.142996,58,51,0
14.833717,15.142996,67,57,0
15.142996,15.444503,69,59,0
15.444503,15.746011,70,61,0
15.746011,16.047518,72,63,0
16.047518,16.361654,74,68,0
16.361654,16.654337,79,63,0
16.654337,16.952845,77,61,0
16.952845,17.266129,79,59,0
16.654337,17.266129,65,33,0
16.654337,17.266129,72,36,0
16.654337,17.266129,75,40,0
17.266129,18.475967,65,46,0
17.266129,18.478518,74,55,0
17.266129,18.478518,70,46,0
18.78287,19.091932,77,60,0
19.091932,19.407059,75,63,0
19.407059,19.727915,77,58,0
19.091932,19.727915,74,50,0
19.091932,19.727915,63,50,0
19.091932,19.727915,70,50,0
19.727915,20.949728,63,50,0
19.727915,20.952278,69,50,0
19.727915,20.952278,72,60,0
21.25663,21.565693,75,55,0
21.565693,21.88082,74,56,0
21.88082,22.201675,75,50,0
21.565693,22.201675,62,37,0
21.565693,22.201675,69,37,0
21.565693,22.201675,72,38,0
22.201675,22.828241,70,53,0
22.201675,22.828241,62,44,0
22.201675,22.828241,67,44,0
23.762657,24.077782,74,54,0
24.077782,24.392908,72,56,0
24.392908,24.708035,74,52,0
24.077782,24.708035,69,35,0
24.077782,24.708035,63,35,0
24.708035,25.02889,72,55,0
24.708035,25.347073,62,35,0
25.02889,25.349745,70,47,0
24.708035,25.349745,67,35,0
25.349745,25.6706,69,50,0
25.6706,26.002092,67,49,0
25.349745,26.002092,58,32,0
26.002092,26.661434,64,35,0
26.002092,26.99663,70,52,0
26.99663,27.339485,69,39,0
26.661434,27.339485,66,32,0
26.661434,27.339485,63,29,0
27.339485,27.99166,67,48,0
27.339485,27.99166,62,40,0
28.984715,29.293993,67,67,0
29.293993,29.596796,69,69,0
29.596796,29.906075,70,66,0
29.906075,30.203104,72,69,0
30.203104,30.507673,74,70,0
30.507673,30.804703,75,72,0
30.804703,31.10927,77,74,0
31.10927,31.406801,79,75,0
31.406801,31.698063,81,72,0
31.698063,31.995092,82,79,0
31.995092,32.31212,84,77,0
32.31212,33.515327,77,75,0
33.818356,34.12605,77,73,0
34.12605,34.41731,79,75,0
34.41731,34.726925,82,73,0
34.726925,35.93606,75,70,0
36.240627,36.54153,75,67,0
36.54153,36.842434,77,71,0
36.842434,37.153896,81,67,0
37.153896,38.399742,74,60,0
38.711205,39.017296,67,68,0
39.017296,39.312862,69,69,0
39.312862,39.61743,70,69,0
39.61743,39.92993,72,69,0
39.92993,40.22405,74,70,0
40.22405,40.52708,75,72,0
40.52708,40.83011,77,74,0
40.83011,41.13314,79,75,0
41.13314,41.424404,81,72,0
41.424404,41.730495,82,79,0
41.730495,42.04752,84,77,0
42.04752,43.24822,74,75,0
43.54973,43.84726,74,73,0
43.84726,44.139942,76,75,0
44.139942,44.44979,78,72,0
44.44979,45.65905,79,77,0
45.96517,46.266075,74,67,0
46.266075,46.563107,72,70,0
46.563107,46.874565,70,67,0
46.874565,48.09893,78,63,0
48.40502,48.705925,72,61,0
48.705925,49.00683,70,63,0
49.00683,49.32011,69,61,0
49.32011,49.6262,79,68,0
49.6262,49.779247,74,61,0
49.779247,49.85577,75,45,0
49.85577,49.932293,74,47,0
49.932293,50.238384,73,63,0
50.238384,50.544476,74,60,0
50.544476,50.850563,75,63,0
50.850563,51.156654,74,60,0
51.156654,51.462746,70,63,0
51.462746,52.079906,67,60,0
51.776367,52.08246,74,63,0
52.38336,53.325745,74,68,0
53.325745,53.650066,62,53,0
53.650066,53.96643,64,54,0
53.96643,54.27494,66,56,0
54.27494,54.571968,67,57,0
54.571968,54.876537,69,59,0
54.876537,55.174824,70,61,0
55.174824,55.479393,72,63,0
55.479393,55.803715,74,65,0
55.803715,56.09357,79,68,0
56.09357,56.389137,78,66,0
56.389137,56.715225,79,64,0
56.715225,57.924423,74,53,0
58.228775,58.537838,74,56,0
58.537838,58.852962,69,59,0
58.852962,59.173817,72,56,0
58.537838,59.173817,67,31,0
58.537838,59.173817,63,31,0
59.173817,59.470848,67,45,0
59.173817,59.470848,62,45,0
59.173817,59.470848,70,53,0
60.714294,61.02758,70,53,0
61.02758,61.342705,66,57,0
61.342705,61.65783,69,53,0
61.02758,61.65783,60,46,0
61.65783,62.898174,58,47,0
61.65783,62.898174,67,53,0
63.21423,63.52032,62,52,0
63.52032,63.826412,64,54,0
63.826412,64.1325,66,55,0
63.52032,64.1325,60,48,0
64.1325,64.44178,67,57,0
64.1325,64.44178,58,51,0
64.44178,64.74178,69,59,0
64.74178,65.04635,70,61,0
65.04635,65.35092,72,63,0
65.35092,65.67007,74,68,0
65.67007,65.95992,79,63,0
65.95992,66.25404,77,61,0
66.25404,66.5749,79,59,0
65.95992,66.5749,72,36,0
65.95992,66.5749,75,40,0
65.95992,66.5749,65,33,0
66.5749,67.784676,65,46,0
66.5749,67.78722,74,55,0
66.5749,67.78722,70,46,0
68.09157,68.40063,77,60,0
68.40063,68.71575,75,63,0
68.71575,69.036606,77,58,0
68.40063,69.036606,74,50,0
68.40063,69.036606,70,50,0
68.40063,69.036606,63,50,0
69.036606,70.25842,63,50,0
69.036606,70.26097,72,60,0
69.036606,70.26097,69,50,0
70.56532,70.87439,75,55,0
70.87439,71.189514,74,56,0
71.189514,71.51037,75,50,0
70.87439,71.51037,62,37,0
70.87439,71.51037,72,38,0
70.87439,71.51037,69,37,0
71.51037,72.13693,70,53,0
71.51037,72.13693,67,44,0
71.51037,72.13693,62,44,0
73.07135,73.392204,74,54,0
73.392204,73.706345,72,56,0
73.706345,74.0272,74,52,0
73.392204,74.0272,69,35,0
73.392204,74.0272,63,35,0
74.0272,74.34978,72,55,0
74.0272,74.66967,62,35,0
74.34978,74.672356,70,51,0
74.0272,74.672356,67,35,0
74.672356,74.99494,69,50,0
74.99494,75.32461,67,49,0
74.672356,75.32461,58,27,0
75.32461,75.99128,64,35,0
75.32461,76.32461,70,52,0
76.32461,76.67548,69,39,0
75.99128,76.67548,66,32,0
75.99128,76.67548,63,29,0
76.67548,77.01068,67,48,0
76.67548,77.01068,62,34,0
77.310684,77.878136,74,50,0
77.310684,77.878136,71,42,0
77.878136,78.44028,67,37,0
77.878136,78.44028,71,44,0
78.44028,78.9895,74,49,0
78.44028,78.9895,71,41,0
78.9895,79.51936,76,52,0
78.9895,79.51936,72,44,0
79.51936,79.773605,66,39,0
79.51936,79.773605,69,47,0
79.773605,80.037346,71,47,0
79.773605,80.037346,67,39,0
80.037346,80.55132,72,49,0
80.037346,80.55132,69,41,0
80.55132,81.057655,76,47,0
80.55132,81.057655,72,39,0
81.057655,81.57454,74,51,0
81.057655,81.57454,71,43,0
81.57454,82.07986,76,44,0
81.57454,82.07986,79,52,0
82.07986,82.58731,78,49,0
82.07986,82.58731,74,41,0
82.58731,83.09477,76,49,0
82.58731,83.09477,72,41,0
83.09477,83.603325,74,49,0
83.09477,83.603325,71,41,0
