start_time,end_time,note_value,velocity,instrument_program_number
7.001475,7.177078,67,56,0
7.3526807,7.4697495,67,52,0
7.4697495,7.5868177,69,49,0
7.5868177,7.7038865,67,48,0
7.7038865,8.814518,66,57,0
8.814518,9.169968,69,44,0
9.169968,9.529853,67,52,0
9.529853,9.889737,70,57,0
9.889737,10.254257,74,64,0
10.254257,10.638184,78,69,0
10.638184,11.780913,79,68,0
11.780913,12.16484,78,60,0
12.16484,12.96484,74,61,0
12.96484,13.667252,62,41,0
12.96484,13.667252,58,37,0
12.96484,13.667252,55,37,0
14.425018,15.136359,57,38,0
14.425018,15.136359,60,42,0
14.425018,15.136359,62,42,0
15.8472595,16.595707,58,42,0
15.8472595,16.595707,62,49,0
17.373917,18.11732,60,38,0
17.373917,18.11732,57,38,0
17.373917,18.11732,62,42,0
18.865263,19.040865,67,56,0
19.216469,19.333536,67,52,0
19.333536,19.450605,69,48,0
19.450605,19.567675,67,48,0
19.567675,20.678305,66,61,0
20.678305,21.033756,69,53,0
21.033756,21.39364,67,58,0
21.39364,21.753525,70,62,0
21.753525,22.118046,74,66,0
22.118046,22.501972,78,69,0
22.501972,23.644701,79,73,0
23.644701,24.0447,77,67,0
24.0447,24.774122,77,67,0
24.774122,25.536932,72,52,0
24.774122,25.536932,75,58,0
24.774122,25.536932,67,44,0
25.536932,26.315144,74,62,0
26.315144,27.094027,67,46,0
26.315144,27.094027,72,46,0
27.094027,27.370848,72,68,0
27.463121,27.739943,66,57,0
27.832214,28.116379,67,62,0
28.2111,28.499043,69,58,0
28.595024,29.737755,70,58,0
29.737755,30.137754,69,46,0
28.595024,30.137754,60,46,0
28.614481,30.15621,66,46,0
30.137754,30.883955,67,42,0
30.137754,30.883955,62,37,0
30.137754,30.883955,58,37,0
30.883955,31.446617,74,64,0
31.446617,31.520653,74,63,0
31.520653,31.594687,75,63,0
31.594687,32.632195,74,69,0
32.632195,32.977024,69,55,0
32.977024,33.148785,70,56,0
33.321198,33.49165,73,58,0
33.66147,33.830006,74,62,0
33.996674,34.16273,75,66,0
34.327564,34.49061,77,67,0
34.653652,34.82807,78,68,0
35.002487,35.16553,82,70,0
35.328575,35.502995,81,68,0
35.619274,35.677414,81,64,0
35.677414,36.627094,84,77,0
36.627094,36.874348,82,67,0
36.90182,36.956764,82,68,0
36.956764,37.113014,86,75,0
37.269264,37.4341,81,70,0
37.54399,37.598934,82,67,0
37.598934,37.756832,86,75,0
37.914726,38.07956,81,69,0
38.18945,38.244396,81,68,0
38.244396,38.560184,86,75,0
38.560184,39.210438,79,68,0
39.210438,39.869278,82,70,0
39.869278,40.53578,78,64,0
40.53578,41.204704,81,68,0
41.204704,41.89783,74,64,0
41.89783,42.107864,79,67,0
42.107864,42.182877,74,55,0
42.182877,42.25789,75,58,0
42.25789,43.243706,74,67,0
43.243706,43.56778,69,55,0
43.56778,43.727356,70,56,0
43.889294,44.055958,73,58,0
44.222626,44.38052,74,62,0
44.538414,44.70325,75,64,0
44.866333,45.025906,77,67,0
45.185482,45.345055,78,68,0
45.50463,45.664204,82,70,0
45.82378,45.983353,81,68,0
46.089737,46.14293,81,64,0
46.14293,47.100376,84,75,0
47.100376,47.339737,82,67,0
47.366333,47.419525,78,63,0
47.419525,47.57679,82,73,0
47.734055,47.900723,78,67,0
48.011833,48.06739,78,63,0
48.06739,48.224655,82,73,0
48.38192,48.552917,78,64,0
48.666916,48.72392,78,62,0
48.72392,49.046497,81,70,0
49.046497,49.691658,74,60,0
49.691658,49.933594,79,61,0
49.960476,50.01424,74,57,0
50.01424,50.17049,70,66,0
50.32674,50.49341,69,58,0
50.60452,50.660072,74,57,0
50.660072,50.816322,70,64,0
50.972572,51.143574,69,55,0
51.257572,51.31457,74,56,0
51.31457,52.00364,69,68,0
51.648273,52.341404,67,64,0
52.341404,52.551437,62,58,0
52.551437,52.62645,62,50,0
52.62645,52.70146,63,50,0
52.70146,53.72745,62,62,0
53.72745,54.06945,57,60,0
54.06945,54.229023,58,62,0
54.3886,54.548172,61,63,0
54.70775,54.86732,62,64,0
55.026897,55.18647,63,66,0
55.345486,55.50338,65,67,0
55.661274,55.819168,66,68,0
55.977062,56.13496,70,70,0
56.293415,56.45356,69,68,0
56.56109,56.615437,69,64,0
56.615437,57.593697,72,72,0
57.593697,57.83826,70,67,0
57.865437,57.919785,70,61,0
57.919785,58.072845,74,72,0
58.225906,58.40126,69,64,0
58.518166,58.57662,70,60,0
58.57662,58.72968,74,73,0
58.88274,59.053738,69,62,0
59.16774,59.22474,69,59,0
59.22474,59.550823,74,70,0
59.550823,60.203,62,64,0
60.203,60.447563,67,61,0
60.47474,60.529087,62,61,0
60.529087,60.685337,67,70,0
60.841587,61.019268,61,63,0
61.137726,61.196953,62,57,0
61.196953,61.358242,67,68,0
61.51953,61.70694,61,62,0
61.82713,61.884853,62,58,0
61.884853,62.94368,67,68,0
62.94368,63.345932,66,54,0
62.237797,63.345932,57,52,0
63.687927,63.79319,62,49,0
63.79319,63.898453,63,49,0
63.898453,64.003716,62,49,0
64.003716,64.5438,61,57,0
64.5438,64.72383,62,55,0
64.72383,64.801155,66,66,0
64.87847,64.95579,68,62,0
65.03311,65.11463,69,64,0
65.19615,65.27768,73,67,0
65.3592,66.011375,74,69,0
66.334656,66.490906,79,66,0
66.490906,66.54299,79,58,0
66.54299,66.59508,81,58,0
66.59508,66.647156,79,58,0
66.647156,67.147156,78,67,0
67.147156,67.31383,79,63,0
67.31383,67.629616,86,74,0
67.629616,68.336395,74,64,0
68.336395,68.67839,62,40,0
69.008064,69.11223,62,52,0
69.11223,69.2164,63,52,0
69.2164,69.320564,62,52,0
69.320564,69.86065,61,61,0
69.86065,70.04068,62,57,0
70.04068,70.118,66,64,0
70.19532,70.27264,68,61,0
70.34996,70.4306,69,64,0
70.511246,70.591896,73,68,0
70.67254,71.346695,74,73,0
71.68378,71.84472,79,64,0
71.84472,71.89837,79,59,0
71.89837,71.95201,81,59,0
71.95201,72.00566,79,59,0
72.00566,72.53173,78,65,0
72.53173,72.70709,79,64,0
72.70709,73.01959,86,76,0
73.01959,73.72637,74,54,0
73.72637,74.06837,62,35,0
74.41037,74.57513,79,64,0
74.57513,74.63005,79,59,0
74.63005,74.684975,81,59,0
74.684975,74.73989,79,60,0
74.73989,75.279976,78,65,0
75.279976,75.46001,79,65,0
75.46001,75.77251,86,77,0
75.77251,76.479294,74,64,0
76.479294,76.82129,62,41,0
77.163284,77.84728,73,63,0
77.84728,78.18928,61,41,0
78.53127,79.2028,74,64,0
79.2028,79.56285,62,41,0
79.92,80.61047,73,59,0
80.61047,80.965836,61,41,0
81.31655,82.00097,74,57,0
82.00097,82.36102,62,39,0
82.73602,83.527695,74,55,0
83.527695,83.937416,62,38,0
84.69231,84.867905,67,56,0
85.04351,85.160576,67,49,0
85.160576,85.27765,69,49,0
85.27765,85.394714,67,48,0
85.394714,86.50535,66,61,0
86.50535,86.860794,69,53,0
86.860794,87.22068,67,58,0
87.22068,87.58057,70,62,0
87.58057,87.94508,74,66,0
87.94508,88.32901,78,68,0
88.32901,89.47174,79,68,0
89.47174,89.85567,78,64,0
89.85567,90.65567,74,62,0
90.65567,91.35808,62,41,0
90.65567,91.35808,55,37,0
90.65567,91.35808,58,37,0
92.115845,92.82719,62,42,0
92.115845,92.82719,60,42,0
92.115845,92.82719,57,38,0
93.538086,94.28654,62,49,0
93.538086,94.28654,58,42,0
95.06474,95.80814,62,42,0
95.06474,95.80814,60,38,0
95.06474,95.80814,57,38,0
96.55609,96.73169,67,56,0
96.907295,97.02437,67,52,0
97.02437,97.14143,69,52,0
97.14143,97.2585,67,52,0
97.2585,98.36913,66,61,0
98.36913,98.72459,69,53,0
98.72459,99.084465,67,54,0
99.084465,99.44435,70,57,0
99.44435,99.808876,74,60,0
