start_time,end_time,note_value,velocity,instrument_program_number
2.3653708,3.0630448,74,50,0
3.0630448,3.5315628,71,51,0
2.2508836,3.5315628,62,40,0
3.4384224,3.5315628,62,37,0
2.309465,3.5315628,66,45,0
3.5315628,4.451808,71,55,0
3.4851837,4.451808,67,39,0
4.6588693,5.3606234,74,53,0
5.3606234,5.824363,71,53,0
4.5601196,5.824363,62,40,0
5.730215,5.824363,62,36,0
4.6105995,5.824363,69,42,0
5.824363,6.864826,71,52,0
5.777624,6.864826,67,39,0
6.864826,7.5877185,76,63,0
7.5877185,7.9491644,74,60,0
6.864826,7.9491644,66,52,0
7.9491644,9.033503,74,59,0
7.9491644,9.033503,67,52,0
9.033503,9.384379,79,66,0
9.384379,9.735256,78,58,0
9.735256,10.098893,76,56,0
9.033503,10.098893,70,52,0
10.098893,11.189802,69,48,0
11.189802,11.553439,74,60,0
11.553439,11.917075,69,56,0
11.917075,12.292075,72,58,0
11.189802,12.292075,66,48,0
12.292075,13.019348,66,50,0
12.292075,13.019348,72,57,0
13.019348,13.382985,71,55,0
13.019348,13.382985,67,49,0
13.382985,13.742267,64,52,0
13.742267,14.101548,57,51,0
14.101548,14.4696455,64,53,0
13.382985,14.4696455,69,52,0
14.4696455,15.240428,64,55,0
15.240428,15.443462,62,53,0
14.4696455,15.68162,69,55,0
15.68162,16.379293,74,55,0
16.379293,16.831982,71,51,0
15.5661955,16.831982,62,40,0
16.735147,16.831982,62,37,0
15.624827,16.831982,66,45,0
16.831982,17.752228,71,52,0
16.784628,17.752228,67,39,0
17.959288,18.661043,74,53,0
18.661043,19.107634,71,53,0
17.860538,19.107634,62,40,0
19.010798,19.107634,62,36,0
17.911018,19.107634,69,42,0
19.107634,20.148096,71,50,0
19.060278,20.148096,67,39,0
20.148096,20.870989,76,63,0
20.870989,21.232435,74,60,0
20.148096,21.232435,66,52,0
21.232435,22.316772,67,53,0
21.232435,22.316772,74,62,0
22.316772,22.66765,79,66,0
22.66765,23.018526,76,55,0
23.018526,23.382162,79,57,0
22.316772,23.382162,70,52,0
23.382162,24.109436,78,62,0
24.109436,24.473072,78,56,0
23.382162,24.473072,71,58,0
24.473072,24.826014,83,62,0
24.826014,25.178955,79,60,0
25.178955,25.553955,83,57,0
24.473072,25.553955,73,53,0
25.553955,26.281227,81,61,0
26.281227,26.644863,81,55,0
25.553955,26.644863,74,51,0
26.644863,27.008501,86,55,0
27.008501,27.372137,81,53,0
27.372137,27.735773,86,53,0
26.644863,27.735773,74,49,0
27.735773,28.826683,81,50,0
27.735773,28.826683,86,57,0
29.19032,29.553955,81,39,0
29.553955,29.917593,86,39,0
29.917593,30.283834,93,44,0
31.042253,31.811485,98,45,0
30.65886,31.811485,93,42,0
30.283834,31.811485,86,42,0
32.196102,32.540928,86,57,0
32.540928,32.889767,82,55,0
32.889767,33.244793,79,52,0
33.244793,33.58378,77,53,0
33.58378,33.932613,81,49,0
33.932613,34.29847,79,49,0
34.29847,35.363556,77,52,0
32.196102,35.363556,74,57,0
38.434147,38.778973,74,57,0
38.778973,39.12781,70,55,0
39.12781,39.482838,67,52,0
39.482838,39.821823,65,53,0
39.821823,40.17066,69,49,0
40.17066,40.536514,67,46,0
40.536514,41.6016,65,51,0
38.434147,41.6016,62,57,0
44.682053,45.404945,62,55,0
45.404945,45.770798,59,51,0
44.682053,45.770798,57,55,0
45.770798,46.855137,55,48,0
45.770798,46.855137,59,48,0
46.855137,47.57803,62,51,0
47.57803,47.946125,59,51,0
46.855137,47.946125,57,51,0
47.946125,48.986588,59,46,0
47.946125,49.03177,55,41,0
48.986588,49.70948,64,57,0
49.70948,50.070927,62,53,0
48.986588,50.070927,54,50,0
50.070927,51.155266,55,53,0
50.070927,51.155266,62,59,0
51.155266,51.50614,67,66,0
51.50614,51.857018,66,63,0
51.857018,52.220654,64,62,0
51.155266,52.220654,58,59,0
52.220654,53.6752,57,60,0
53.6752,54.04557,59,52,0
54.04557,54.43267,60,56,0
54.43267,55.159943,60,58,0
55.159943,55.534943,59,55,0
55.534943,57.744278,59,55,0
57.744278,58.471554,59,57,0
58.471554,58.846554,57,53,0
58.846554,61.06246,57,52,0
61.06246,61.435135,57,49,0
61.435135,61.807804,59,46,0
61.807804,62.199963,60,46,0
62.199963,62.99996,60,48,0
62.99996,63.425495,59,42,0
62.199963,63.425495,54,42,0
63.425495,64.75102,59,42,0
63.425495,64.75102,55,38,0
65.71661,65.874504,67,52,0
65.25102,65.874504,71,70,0
66.32698,66.482414,66,57,0
65.874504,66.482414,70,62,0
66.482414,66.7604,74,73,0
66.7604,67.050255,73,67,0
66.7604,67.050255,66,57,0
66.7604,67.050255,64,57,0
67.050255,67.34186,71,61,0
67.050255,67.34186,66,51,0
67.050255,67.34186,62,51,0
68.08105,68.22969,67,55,0
67.64532,68.22969,71,70,0
68.65925,68.80438,66,57,0
68.22969,68.80438,70,62,0
68.80438,69.083664,78,74,0
69.083664,69.37405,76,71,0
69.37405,69.5164,71,56,0
69.5164,69.65876,72,57,0
69.37405,69.65876,76,70,0
69.65876,69.80897,71,52,0
69.80897,69.95918,66,51,0
69.65876,69.95918,75,62,0
70.39635,70.54499,67,55,0
69.95918,70.54499,71,70,0
70.9731,71.11679,66,57,0
70.54499,71.11679,70,62,0
71.11679,71.394775,74,73,0
71.394775,71.68505,73,67,0
71.394775,71.68505,66,57,0
71.394775,71.68505,64,57,0
71.68505,71.97533,71,61,0
71.68505,71.97533,66,51,0
71.68505,71.97533,62,51,0
72.69515,72.840294,67,55,0
72.2656,72.840294,71,70,0
73.26903,73.418495,66,57,0
72.840294,73.418495,70,62,0
73.418495,73.70701,78,72,0
73.70701,74.0043,76,71,0
74.0043,74.14856,71,56,0
74.14856,74.29282,72,56,0
74.0043,74.29282,76,70,0
74.29282,74.44147,71,52,0
74.44147,74.59012,66,51,0
74.29282,74.59012,75,62,0
74.872574,75.01672,67,52,0
75.01672,75.16087,71,48,0
74.59012,75.16087,79,79,0
75.44721,75.59337,66,50,0
75.59337,75.739525,71,47,0
75.16087,75.739525,78,77,0
75.739525,76.03184,77,77,0
76.03184,76.32415,80,67,0
76.03184,76.32415,73,50,0
76.03184,76.32415,71,49,0
76.32415,76.61646,71,60,0
76.61646,76.908775,69,57,0
76.32415,76.908775,73,71,0
77.19123,77.33538,66,52,0
77.33538,77.47953,69,48,0
76.908775,77.47953,78,77,0
77.76587,77.912025,64,50,0
77.912025,78.05818,69,46,0
77.47953,78.05818,76,75,0
78.05818,78.35398,75,79,0
78.35398,78.64978,78,69,0
78.35398,78.64978,71,50,0
78.35398,78.64978,69,49,0
78.64978,78.94558,69,60,0
78.94558,79.24138,67,57,0
78.64978,79.24138,71,71,0
79.52569,79.670654,64,52,0
79.670654,79.81562,67,48,0
79.24138,79.81562,76,75,0
80.10556,80.25172,62,50,0
80.25172,80.39787,67,47,0
79.81562,80.39787,74,73,0
80.39787,80.690186,74,72,0
80.690186,80.9825,73,67,0
80.690186,80.9825,67,42,0
80.690186,80.9825,61,41,0
80.9825,81.27481,71,59,0
80.9825,81.27481,67,51,0
80.9825,81.27481,64,51,0
81.27481,81.56712,69,57,0
81.99667,82.141815,61,46,0
81.56712,82.141815,67,59,0
82.571365,82.7165,62,46,0
82.141815,82.7165,66,57,0
82.7165,83.00502,73,60,0
83.00502,83.295296,71,49,0
83.00502,83.295296,66,39,0
83.00502,83.295296,62,36,0
83.295296,83.58557,69,55,0
84.30245,84.4466,63,49,0
83.87585,84.4466,69,62,0
84.8791,85.02525,64,49,0
84.4466,85.02525,67,60,0
85.02525,85.317566,76,66,0
85.317566,85.60988,74,53,0
85.317566,85.60988,67,45,0
85.317566,85.60988,64,45,0
85.60988,85.90219,74,61,0
85.90219,86.1945,73,57,0
86.624054,86.769196,61,46,0
86.1945,86.769196,67,59,0
87.198746,87.34389,62,46,0
86.769196,87.34389,66,57,0
87.34389,87.624466,73,58,0
87.624466,87.91474,71,49,0
87.624466,87.91474,66,39,0
87.624466,87.91474,62,36,0
87.91474,88.20502,69,55,0
88.921906,89.06605,63,49,0
88.49529,89.06605,69,60,0
89.49855,89.64471,64,51,0
89.06605,89.64471,67,60,0
89.64471,89.92759,76,64,0
89.92759,90.219955,74,53,0
89.92759,90.219955,67,45,0
89.92759,90.219955,64,45,0
90.219955,90.50467,73,61,0
91.08951,91.3879,69,59,0
91.08951,91.3879,62,49,0
90.800995,91.3879,72,71,0
91.676414,91.97481,67,62,0
91.676414,91.97481,62,52,0
91.3879,91.97481,71,72,0
92.25944,92.55782,71,63,0
92.25944,92.55782,64,53,0
91.97481,92.55782,74,74,0
92.846344,93.15309,69,63,0
92.846344,93.15309,64,53,0
92.55782,93.15309,73,74,0
93.44744,93.7564,71,67,0
93.44744,93.7564,65,56,0
93.15309,93.7564,73,78,0
94.05891,94.38159,71,69,0
94.05891,94.38159,65,58,0
93.7564,94.38159,73,80,0
94.38159,94.97358,78,86,0
94.97358,95.57376,73,85,0
94.38159,95.57376,66,73,0
94.38159,95.57376,70,73,0
95.57376,95.87972,73,80,0
95.87972,96.18569,75,80,0
96.18569,96.79151,73,81,0
95.57376,96.79151,65,60,0
95.57376,96.79151,70,60,0
96.79151,97.38349,78,86,0
97.38349,97.98367,73,84,0
96.79151,97.98367,66,73,0
96.79151,97.98367,70,73,0
97.98367,98.29282,73,80,0
98.29282,98.601974,75,80,0
98.601974,99.20734,73,81,0
97.98367,99.20734,65,60,0
97.98367,99.20734,70,60,0
99.50059,99.79951,73,64,0
99.50059,99.79951,70,55,0
99.20734,99.79951,66,82,0
100.09679,100.39997,66,46,0
100.09679,100.39997,70,56,0
99.79951,100.39997,61,72,0
100.39997,100.703156,61,75,0
100.703156,101.00634,63,70,0
101.00634,101.61744,61,72,0
100.703156,101.61744,71,52,0
100.703156,101.61744,68,52,0
101.91255,102.21147,73,58,0
101.91255,102.21147,70,49,0
101.61744,102.21147,66,73,0
102.50876,102.81194,66,40,0
102.50876,102.81194,70,49,0
102.21147,102.81194,61,64,0
102.81194,103.11512,61,68,0
103.11512,103.418304,63,62,0
103.418304,104.036316,61,64,0
103.11512,104.036316,71,47,0
103.11512,104.036316,68,47,0
104.33445,104.64187,73,51,0
104.33445,104.64187,70,44,0
104.036316,104.64187,66,66,0
104.944786,105.261375,66,36,0
104.944786,105.261375,70,44,0
104.64187,105.261375,61,58,0
105.56572,105.88141,70,39,0
105.56572,105.88141,73,46,0
105.261375,105.88141,66,59,0
106.18911,106.509346,70,39,0
106.18911,106.509346,66,31,0
105.88141,106.509346,61,51,0
106.962494,107.117134,67,52,0
106.509346,107.117134,71,70,0
107.55991,107.711426,66,57,0
107.117134,107.711426,70,62,0
107.711426,107.99431,74,73,0
107.99431,108.28668,73,67,0
107.99431,108.28668,66,57,0
107.99431,108.28668,64,57,0
108.28668,108.57905,71,61,0
108.28668,108.57905,66,51,0
108.28668,108.57905,62,51,0
109.3105,109.45564,67,55,0
108.88095,109.45564,71,70,0
109.88519,110.030334,66,57,0
109.45564,110.030334,70,62,0
110.030334,110.31885,78,74,0
110.31885,110.61765,76,71,0
110.61765,110.76001,71,56,0
110.76001,110.90237,72,57,0
110.61765,110.90237,76,70,0
110.90237,111.052574,71,52,0
111.052574,111.20278,66,51,0
110.90237,111.20278,75,62,0
111.629395,111.77354,71,42,0
111.20278,111.77354,79,79,0
112.20604,112.352196,71,44,0
111.77354,112.352196,78,77,0
112.352196,112.64451,78,75,0
112.64451,112.790665,66,52,0
112.790665,112.93681,69,48,0
112.64451,112.93681,76,67,0
113.37528,113.52144,67,40,0
112.93681,113.52144,74,71,0
113.94805,114.09219,69,42,0
113.52144,114.09219,76,77,0
114.5247,114.67085,67,44,0
114.09219,114.67085,74,73,0
114.67085,114.96316,74,77,0
114.96316,115.109314,62,52,0
115.109314,115.25547,69,48,0
114.96316,115.25547,72,67,0
115.69394,115.840096,67,40,0
115.69394,115.840096,62,40,0
115.25547,115.840096,71,67,0
116.28166,116.430916,61,42,0
115.840096,116.430916,67,62,0
116.430916,116.726166,66,61,0
116.88053,117.0349,61,36,0
116.726166,117.0349,67,58,0
117.48018,117.62861,62,42,0
117.0349,117.62861,71,62,0
118.07894,118.23243,62,36,0
117.62861,118.23243,69,59,0
118.23243,118.67771,63,56,0
118.67771,118.82613,60,36,0
118.82613,119.122986,62,52,0
119.43352,119.88128,51,56,0
119.88128,120.03053,48,35,0
120.03053,120.32904,50,53,0
121.23332,121.39,61,47,0
121.39,121.55341,62,40,0
121.55341,121.72422,66,45,0
121.72422,121.90315,69,40,0
122.68391,123.38158,74,53,0
123.38158,123.8501,71,51,0
122.571526,123.8501,62,40,0
123.75696,123.8501,62,37,0
122.63138,123.8501,66,45,0
123.8501,124.77034,71,55,0
123.80372,124.77034,67,39,0
124.9774,125.67915,74,53,0
125.67915,126.1429,71,53,0
124.878654,126.1429,62,40,0
126.04875,126.1429,62,36,0
124.92913,126.1429,69,42,0
126.1429,127.18336,71,52,0
126.09616,127.18336,67,39,0
127.18336,127.90625,76,63,0
127.90625,128.2677,74,60,0
127.18336,128.2677,66,52,0
128.2677,129.35204,67,52,0
128.2677,129.35204,74,59,0
129.35204,129.70291,79,66,0
129.70291,130.05379,78,60,0
130.05379,130.41742,76,57,0
129.35204,130.41742,70,52,0
130.41742,131.50833,69,48,0
131.50833,131.87198,74,60,0
131.87198,132.23561,69,56,0
132.23561,132.61061,72,58,0
131.50833,132.61061,66,48,0
132.61061,133.33788,66,50,0
132.61061,133.33788,72,57,0
133.33788,133.70152,71,55,0
133.33788,133.70152,67,49,0
133.70152,134.0608,64,52,0
134.0608,134.42007,57,51,0
134.42007,134.78818,64,53,0
133.70152,134.78818,69,52,0
134.78818,135.55896,64,55,0
135.55896,135.7603,62,53,0
134.78818,135.99312,69,55,0
135.99312,136.6908,74,55,0
136.6908,137.1435,71,51,0
135.88295,137.1435,62,40,0
137.04665,137.1435,62,37,0
135.9411,137.1435,66,45,0
137.1435,138.06374,71,52,0
137.09613,138.06374,67,39,0
138.2708,138.97255,74,53,0
138.97255,139.41914,71,53,0
138.17204,139.41914,62,40,0
139.3223,139.41914,62,36,0
138.22252,139.41914,69,42,0
139.41914,140.4596,71,50,0
139.37178,140.4596,67,39,0
140.4596,141.1825,76,63,0
141.1825,141.54395,74,60,0
140.4596,141.54395,66,52,0
141.54395,142.62828,67,53,0
141.54395,142.62828,74,62,0
142.62828,142.97916,79,66,0
142.97916,143.33003,76,61,0
143.33003,143.69366,79,62,0
142.62828,143.69366,70,52,0
143.69366,144.42094,78,62,0
144.42094,144.78458,78,56,0
143.69366,144.78458,71,58,0
144.78458,145.13751,83,62,0
145.13751,145.49046,79,60,0
145.49046,145.86546,83,57,0
144.78458,145.86546,73,53,0
145.86546,146.59273,81,61,0
146.59273,146.95638,81,55,0
145.86546,146.95638,74,51,0
146.95638,147.32,86,55,0
147.32,147.68364,81,53,0
147.68364,148.04727,86,53,0
146.95638,148.04727,74,49,0
148.04727,149.13818,81,50,0
148.04727,149.13818,86,57,0
149.50183,149.86546,81,39,0
149.86546,150.2291,86,39,0
150.2291,150.59534,93,44,0
151.35376,152.12299,98,44,0
150.97037,152.12299,93,42,0
150.59534,152.12299,86,42,0
152.5076,152.85243,86,57,0
152.85243,153.20126,82,55,0
153.20126,153.5563,79,52,0
153.5563,153.89528,77,53,0
153.89528,154.24413,81,49,0
154.24413,154.60997,79,49,0
154.60997,155.67506,77,52,0
152.5076,155.67506,74,57,0
158.74565,159.09048,74,57,0
159.09048,159.43932,70,55,0
159.43932,159.79434,67,52,0
159.79434,160.13333,65,53,0
160.13333,160.48216,69,49,0
160.48216,160.84802,67,49,0
160.84802,161.9131,65,51,0
158.74565,161.9131,62,57,0
164.99356,165.71645,62,55,0
165.71645,166.0823,59,51,0
164.99356,166.0823,57,55,0
166.0823,167.16664,59,48,0
166.0823,167.16664,55,48,0
167.16664,167.88953,62,51,0
167.88953,168.25763,59,51,0
167.16664,168.25763,57,51,0
168.25763,169.2981,59,46,0
168.25763,169.34328,55,41,0
169.2981,170.02098,64,57,0
170.02098,170.38243,62,53,0
169.2981,170.38243,54,50,0
170.38243,171.46677,55,53,0
170.38243,171.46677,62,59,0
171.46677,171.81764,67,59,0
171.81764,172.16852,66,57,0
172.16852,172.53217,64,56,0
171.46677,172.53217,58,52,0
172.53217,173.98671,57,53,0
173.98671,174.35707,59,47,0
174.35707,174.74417,60,49,0
174.74417,175.47145,60,51,0
175.47145,175.84645,59,49,0
175.84645,178.05579,59,49,0
178.05579,178.78307,59,45,0
178.78307,179.15807,57,42,0
179.15807,181.37396,57,41,0
181.37396,181.74664,57,39,0
181.74664,182.11931,59,36,0
182.11931,182.51147,60,36,0
182.51147,184.671,60,38,0
184.671,185.23175,59,34,0
182.51147,185.23175,54,34,0
185.23175,190.27849,59,34,0
185.23175,190.27849,55,29,0
190.27849,193.64296,59,25,0
190.27849,193.64296,55,24,0
2.1893492,3.5315628,57,37,0
2.125,3.5315628,50,33,0
3.3408225,4.451808,52,31,0
3.3902996,4.451808,55,36,0
4.5072145,5.824363,57,44,0
4.451808,5.824363,54,36,0
5.6333504,6.864826,55,33,0
