start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.309438,73,68,0
0.309438,0.6293695,71,62,0
1.2516475,1.8808424,71,44,0
1.2516475,1.8808424,68,44,0
0.6293695,1.8808424,76,63,0
1.8808424,2.1902804,80,67,0
2.1902804,2.4997184,83,63,0
2.4997184,2.8091564,85,69,0
2.8091564,3.1364884,83,62,0
3.7553644,4.3845596,68,44,0
3.7553644,4.3845596,71,44,0
3.1364884,4.3845596,80,64,0
4.3845596,4.697418,76,63,0
4.697418,5.0102763,73,60,0
5.0102763,5.323135,80,63,0
5.323135,5.6448855,78,59,0
6.2671633,6.8963585,69,44,0
6.2671633,6.8963585,66,44,0
5.6448855,6.8963585,73,62,0
6.8963585,7.2057967,73,61,0
7.2057967,7.5152345,71,57,0
7.5152345,7.829832,78,62,0
7.829832,8.151583,76,57,0
8.780778,9.409972,64,44,0
8.780778,9.409972,68,44,0
8.151583,9.409972,71,58,0
9.409972,9.72457,70,61,0
9.72457,10.039167,71,59,0
10.039167,10.348605,73,68,0
10.348605,10.668537,71,62,0
11.290815,11.92001,71,44,0
11.290815,11.92001,68,44,0
10.668537,11.92001,76,63,0
11.92001,12.229448,80,67,0
12.229448,12.538886,83,63,0
12.538886,12.848324,85,69,0
12.848324,13.175656,83,62,0
13.794532,14.423727,71,44,0
13.794532,14.423727,68,44,0
13.175656,14.423727,80,64,0
14.423727,14.736586,76,63,0
14.736586,15.049444,73,60,0
15.049444,15.362303,71,63,0
15.362303,15.689634,75,59,0
16.311913,16.941107,71,44,0
16.311913,16.941107,75,44,0
15.689634,16.941107,83,62,0
16.941107,17.257463,82,61,0
17.257463,17.577394,80,57,0
17.577394,18.206589,76,57,0
18.206589,18.521187,75,57,0
18.521187,18.844776,73,53,0
18.206589,18.844776,67,44,0
18.206589,18.844776,70,44,0
18.844776,19.161133,73,57,0
19.161133,19.510115,71,52,0
18.844776,19.510115,68,40,0
18.844776,19.510115,63,40,0
19.510115,19.828249,70,52,0
19.828249,20.149998,68,52,0
19.510115,20.149998,63,38,0
19.510115,20.149998,59,37,0
20.149998,20.468132,69,64,0
20.468132,20.791721,65,60,0
21.587055,21.74702,61,39,0
20.791721,21.74702,66,64,0
21.74702,21.907896,66,39,0
21.907896,22.070002,69,42,0
22.070002,22.386356,78,67,0
22.386356,22.713688,76,63,0
22.713688,23.031822,76,67,0
23.031822,23.353573,74,63,0
24.15795,24.318825,63,39,0
24.318825,24.483442,66,39,0
