start_time,end_time,note_value,velocity,instrument_program_number
0.0,1.632955,69,49,0
0.0,1.632955,65,44,0
0.827586,2.466288,77,52,0
1.632955,3.271657,67,44,0
1.632955,3.271657,69,49,0
2.466288,3.6798205,76,53,0
3.6798205,4.087984,74,52,0
3.271657,4.087984,69,42,0
3.271657,4.087984,65,36,0
4.087984,4.4961476,68,54,0
4.4961476,4.904311,69,50,0
4.904311,6.1288013,74,52,0
6.1288013,6.536965,72,47,0
4.904311,6.536965,69,42,0
6.536965,7.354535,70,52,0
6.536965,7.354535,67,47,0
4.904311,7.354535,62,42,0
7.354535,8.9932375,70,59,0
8.1599045,9.798606,60,44,0
8.1599045,9.798606,62,49,0
8.9932375,10.20677,66,57,0
10.20677,10.60677,67,57,0
9.798606,10.60677,62,36,0
9.798606,10.60677,58,36,0
10.60677,11.012176,76,62,0
11.012176,11.417581,74,58,0
10.60677,11.417581,64,34,0
10.60677,11.417581,67,36,0
11.417581,12.239499,74,59,0
12.239499,13.061417,73,56,0
11.417581,13.061417,67,36,0
11.417581,13.061417,64,36,0
13.335389,13.603846,69,58,0
13.603846,13.872302,71,55,0
13.872302,14.139864,73,57,0
14.139864,14.411519,74,61,0
14.411519,14.687387,76,64,0
14.687387,16.622438,81,68,0
16.622438,16.890896,69,61,0
16.890896,17.159351,71,57,0
17.159351,17.426914,73,61,0
17.426914,17.699028,74,65,0
17.699028,17.976812,76,68,0
17.976812,19.235554,81,72,0
19.235554,19.655136,74,67,0
19.655136,19.929108,79,69,0
19.929108,20.203081,77,65,0
20.203081,20.383514,76,64,0
20.383514,20.439484,74,62,0
20.439484,20.495455,76,62,0
20.495455,20.769426,74,69,0
20.769426,21.0434,73,64,0
21.0434,21.327087,74,64,0
21.327087,22.422977,77,69,0
22.422977,22.69695,76,63,0
22.69695,23.25683,74,57,0
23.25683,23.528938,73,68,0
23.528938,24.07502,72,58,0
24.07502,24.348993,71,66,0
24.348993,24.896938,70,57,0
24.896938,25.170912,69,63,0
25.170912,25.888891,65,55,0
25.888891,25.950874,64,50,0
25.950874,26.012857,65,50,0
26.012857,26.290634,64,56,0
26.290634,26.682793,62,54,0
27.454697,28.228922,69,49,0
28.228922,29.01843,71,53,0
29.01843,29.800396,73,57,0
29.800396,30.579618,74,49,0
30.579618,31.339233,73,54,0
31.339233,31.717068,72,53,0
31.717068,32.10168,70,52,0
32.10168,32.509438,69,51,0
32.509438,32.896534,67,57,0
32.896534,33.64889,62,53,0
33.64889,34.408386,74,67,0
34.408386,35.17765,70,63,0
35.17765,35.969807,69,57,0
35.969807,36.7621,67,57,0
36.7621,37.573605,68,56,0
37.573605,38.384563,69,55,0
38.384563,38.79552,64,53,0
39.069492,39.33616,72,69,0
39.33616,39.61985,74,70,0
39.61985,39.888306,76,73,0
39.888306,40.15676,77,70,0
40.15676,40.425217,79,67,0
40.425217,42.080788,72,74,0
42.354763,42.62143,69,71,0
42.62143,42.899204,71,71,0
42.899204,43.167664,73,73,0
43.167664,43.43612,74,70,0
43.43612,43.704575,76,67,0
43.704575,45.348568,69,74,0
45.620678,45.790745,64,71,0
45.892784,46.062855,65,70,0
46.164894,46.33496,67,71,0
46.437004,46.60707,69,70,0
46.709114,47.247887,70,71,0
47.247887,47.519997,70,71,0
47.519997,48.064217,69,67,0
48.064217,48.336323,68,69,0
48.336323,48.89012,67,66,0
48.89012,49.16223,66,68,0
49.16223,49.70645,65,62,0
49.70645,49.978558,63,66,0
49.978558,50.815777,64,61,0
50.815777,51.11653,61,55,0
51.11653,51.731915,61,55,0
51.731915,52.039608,62,50,0
50.256336,52.039608,57,38,0
50.256336,52.039608,53,38,0
52.31179,52.5769,67,58,0
52.5769,52.84201,69,58,0
52.84201,53.105816,70,57,0
53.105816,53.3722,71,60,0
53.3722,53.639008,72,63,0
53.639008,54.183372,77,67,0
54.183372,54.45556,76,63,0
54.45556,55.01119,76,65,0
55.01119,55.289005,74,63,0
55.566822,55.83539,64,54,0
55.83539,56.10395,65,54,0
55.289005,56.10395,74,64,0
56.10395,56.37076,66,56,0
56.37076,56.63757,67,56,0
56.63757,56.915386,68,56,0
56.10395,57.180496,72,67,0
57.180496,57.44561,72,56,0
57.44561,57.717716,71,56,0
56.915386,57.717716,70,67,0
57.717716,58.261936,74,61,0
58.261936,58.534046,72,58,0
57.717716,58.534046,69,45,0
58.80623,59.07134,67,58,0
59.07134,59.33645,69,58,0
59.33645,59.600254,70,57,0
59.600254,59.86664,71,60,0
59.86664,60.133446,72,63,0
60.133446,60.67781,77,67,0
60.67781,60.949993,76,63,0
60.949993,61.505627,76,65,0
61.505627,61.783443,74,63,0
62.06126,62.329826,64,54,0
62.329826,62.59839,63,54,0
61.783443,62.59839,74,64,0
62.59839,62.8652,64,56,0
62.8652,63.132008,65,56,0
63.132008,63.409824,64,56,0
62.59839,63.674934,73,67,0
63.674934,63.94005,74,64,0
63.94005,64.21216,73,62,0
63.409824,64.21216,70,67,0
64.21216,64.75637,76,68,0
64.75637,65.02848,74,58,0
64.21216,65.02848,69,54,0
65.3063,65.57487,67,60,0
65.57487,65.84343,66,60,0
65.02848,65.84343,77,68,0
65.84343,66.11024,67,70,0
66.11024,66.377045,69,60,0
66.377045,66.65486,67,60,0
65.84343,66.919975,76,70,0
66.919975,67.19779,77,67,0
67.19779,67.34007,76,67,0
66.65486,67.58355,74,72,0
67.58355,68.935814,82,71,0
68.935814,69.21747,81,57,0
67.53991,69.21747,73,63,0
67.49764,69.21747,67,54,0
69.499115,69.7713,81,65,0
69.7713,70.04348,80,66,0
70.04348,70.591576,82,70,0
70.591576,70.87323,81,64,0
70.87323,71.14004,81,67,0
71.14004,71.406845,79,59,0
71.406845,71.68089,78,61,0
71.68089,72.22899,81,62,0
72.22899,72.41815,79,63,0
72.79497,73.067154,79,65,0
73.067154,73.33933,78,63,0
73.33933,73.88743,81,67,0
73.88743,74.16908,79,64,0
74.16908,74.43589,79,69,0
74.43589,74.7027,77,66,0
74.7027,74.976746,76,64,0
74.976746,75.52484,79,70,0
75.52484,75.70986,77,62,0
76.08668,76.358864,77,65,0
76.358864,76.63104,76,63,0
76.63104,77.17914,79,70,0
77.17914,77.46079,77,65,0
77.46079,77.7276,77,69,0
77.7276,77.99441,76,66,0
77.99441,78.268456,74,64,0
78.268456,78.5425,77,69,0
78.5425,78.81655,76,67,0
78.81655,79.0906,74,65,0
79.36465,79.63683,67,61,0
79.63683,79.90901,69,62,0
79.90901,80.18306,70,66,0
80.18306,80.45711,77,62,0
80.45711,80.73876,76,58,0
80.73876,81.00557,74,64,0
81.00557,81.27238,73,61,0
81.27238,81.54094,72,59,0
81.54094,82.09386,73,62,0
82.09386,82.37755,69,55,0
82.65923,82.93142,81,55,0
82.93142,83.2036,80,53,0
83.2036,83.75169,82,58,0
83.75169,84.03335,81,54,0
84.03335,84.300156,81,56,0
84.300156,84.56696,79,52,0
84.56696,84.84101,78,50,0
84.84101,85.38911,81,59,0
85.38911,85.57827,79,53,0
85.955086,86.22727,79,55,0
86.22727,86.49945,78,53,0
86.49945,87.04755,81,58,0
87.04755,87.3292,79,53,0
87.3292,87.59601,79,57,0
87.59601,87.862816,77,56,0
87.862816,88.13686,76,54,0
88.13686,88.68496,79,58,0
88.68496,88.86998,77,52,0
89.246796,89.51898,77,55,0
89.51898,89.79116,76,56,0
89.79116,90.33926,79,59,0
90.33926,90.62091,77,56,0
90.62091,90.88772,77,58,0
90.88772,91.154526,76,56,0
91.154526,91.42857,74,54,0
91.42857,91.70262,77,58,0
91.70262,91.97667,76,56,0
91.97667,92.25072,74,55,0
92.524765,92.79694,67,55,0
92.79694,93.06913,69,56,0
93.06913,93.34318,70,59,0
93.34318,93.617226,77,56,0
93.617226,93.89887,76,52,0
93.89887,94.16569,74,57,0
94.16569,94.432495,73,55,0
94.432495,94.70106,72,53,0
94.70106,95.252975,73,56,0
95.252975,95.53467,69,49,0
95.814384,96.08284,67,51,0
96.08284,96.351295,66,51,0
96.351295,96.89925,69,54,0
96.89925,97.17322,67,52,0
95.53467,97.17322,62,49,0
97.17322,97.58142,67,49,0
97.17322,97.58142,61,41,0
99.11425,99.382706,67,51,0
99.382706,99.65116,66,51,0
99.65116,100.199104,69,54,0
100.199104,100.473076,67,52,0
98.834526,100.473076,62,49,0
100.473076,100.88128,67,49,0
100.473076,100.88128,61,41,0
109.479034,111.11199,69,49,0
109.479034,111.11199,65,44,0
110.30662,111.94532,77,53,0
111.11199,112.750694,67,44,0
111.11199,112.750694,69,49,0
111.94532,113.15886,76,54,0
113.15886,113.55885,74,52,0
112.750694,113.55885,69,42,0
112.750694,113.55885,65,36,0
113.55885,113.964264,68,55,0
113.964264,114.36967,69,52,0
114.36967,115.588715,74,52,0
115.588715,115.99412,72,50,0
114.36967,115.99412,69,42,0
115.99412,116.806786,70,52,0
115.99412,116.806786,67,47,0
114.36967,116.806786,62,42,0
116.806786,118.44549,70,59,0
117.61215,119.250854,60,44,0
117.61215,119.250854,62,49,0
118.44549,119.65902,66,57,0
119.65902,120.05902,67,57,0
119.250854,120.05902,62,36,0
119.250854,120.05902,58,36,0
120.05902,120.464424,76,62,0
120.464424,120.86983,74,58,0
120.05902,120.86983,67,36,0
120.05902,120.86983,64,36,0
120.86983,121.69175,74,59,0
121.69175,122.513664,73,56,0
120.86983,122.513664,67,36,0
120.86983,122.513664,64,36,0
122.787636,123.05609,69,58,0
123.05609,123.324554,71,55,0
123.324554,123.59211,73,61,0
123.59211,123.86377,74,63,0
123.86377,124.13963,76,67,0
124.13963,126.07469,81,68,0
126.07469,126.341354,69,61,0
126.341354,126.608025,71,58,0
126.608025,126.87558,73,61,0
126.87558,127.1477,74,62,0
127.1477,127.42548,76,65,0
127.42548,128.68422,81,68,0
128.68422,129.1038,74,68,0
