start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.83525574,74,75,0
0.0,0.83525574,62,67,0
0.83525574,0.954578,62,65,0
0.83525574,0.954578,74,73,0
0.954578,1.7898338,74,75,0
0.954578,1.7898338,62,67,0
1.7898338,1.909156,62,63,0
1.7898338,1.909156,74,71,0
1.909156,2.7444117,74,78,0
1.909156,2.7444117,62,70,0
2.7444117,2.863734,74,74,0
2.7444117,2.863734,62,66,0
2.863734,3.6989899,62,70,0
2.863734,3.6989899,74,78,0
3.6989899,3.818312,74,75,0
3.6989899,3.818312,62,67,0
3.818312,4.285893,74,78,0
3.818312,4.285893,62,70,0
4.285893,5.1568527,62,70,0
4.285893,5.1568527,74,78,0
5.1568527,6.0224648,74,78,0
5.1568527,6.0224648,62,70,0
6.0224648,6.7201376,74,78,0
6.0224648,6.7201376,62,70,0
6.7201376,7.1896214,62,67,0
6.7201376,7.1896214,74,75,0
7.1896214,7.3069925,62,68,0
7.1896214,7.3069925,74,76,0
7.882589,8.754903,67,83,0
7.882589,8.754903,79,83,0
8.754903,9.412327,79,78,0
8.754903,9.412327,67,70,0
9.412327,9.864263,79,78,0
9.412327,9.864263,67,70,0
9.864263,9.981634,67,68,0
9.864263,9.981634,79,76,0
10.099005,10.216376,78,87,0
10.099005,10.216376,74,87,0
10.099005,10.216376,86,97,0
10.333747,10.451118,79,79,0
10.333747,10.451118,74,79,0
10.333747,10.451118,86,88,0
10.568489,10.803231,78,84,0
10.568489,10.803231,74,84,0
10.568489,10.803231,86,94,0
11.037973,11.645414,67,80,0
11.037973,11.645414,59,72,0
11.645414,11.750309,67,75,0
11.645414,11.750309,59,67,0
11.785274,11.897147,59,67,0
11.785274,11.897147,67,75,0
11.934439,12.516581,59,72,0
11.934439,12.516581,67,81,0
12.516581,12.621475,59,67,0
12.516581,12.621475,67,75,0
12.656441,12.761335,67,74,0
12.656441,12.761335,59,66,0
12.796301,13.470193,67,80,0
12.796301,13.470193,59,72,0
13.470193,13.585206,71,74,0
13.470193,13.585206,67,66,0
13.700218,13.813417,72,80,0
13.700218,13.813417,69,72,0
13.926617,14.04163,71,74,0
13.926617,14.04163,67,66,0
14.156643,14.269841,72,80,0
14.156643,14.269841,69,72,0
14.38304,14.49624,69,79,0
14.38304,14.49624,62,71,0
14.609439,15.207523,71,72,0
14.609439,15.207523,74,80,0
15.207523,15.312419,71,67,0
15.207523,15.312419,74,75,0
15.3473835,15.458817,74,75,0
15.3473835,15.458817,71,67,0
15.495961,16.073534,74,81,0
15.495961,16.073534,71,72,0
16.073534,16.181147,71,67,0
16.073534,16.181147,74,75,0
16.218582,16.33089,74,74,0
16.218582,16.33089,71,66,0
16.368328,16.480202,76,80,0
16.368328,16.480202,72,72,0
16.592075,16.703947,74,77,0
16.592075,16.703947,71,69,0
16.81582,16.929916,72,77,0
16.81582,16.929916,69,69,0
17.04401,17.16138,71,75,0
17.04401,17.16138,64,67,0
17.04401,17.16138,68,75,0
17.278753,17.3947,64,73,0
17.278753,17.3947,69,82,0
17.510645,17.628506,71,77,0
17.510645,17.628506,68,69,0
17.510645,17.628506,64,69,0
17.746365,17.86278,72,82,0
17.746365,17.86278,69,73,0
17.746365,17.86278,64,67,0
18.213936,18.326178,78,72,0
18.213936,18.326178,74,64,0
18.43842,18.553423,73,59,0
18.43842,18.553423,76,66,0
18.668428,18.781576,71,63,0
18.668428,18.781576,74,71,0
18.894724,19.009727,66,60,0
18.894724,19.009727,73,67,0
18.894724,19.009727,70,67,0
19.124731,19.2388,71,69,0
19.124731,19.2388,66,62,0
19.352869,19.46836,73,64,0
19.352869,19.46836,70,64,0
19.352869,19.46836,66,57,0
19.58385,19.69792,74,67,0
19.58385,19.69792,71,67,0
19.58385,19.69792,66,60,0
20.041998,20.153002,80,72,0
20.041998,20.153002,76,64,0
20.264006,20.377205,75,59,0
20.264006,20.377205,78,66,0
20.490404,20.602278,76,71,0
20.490404,20.602278,73,63,0
20.714151,20.827795,75,67,0
20.714151,20.827795,72,67,0
20.714151,20.827795,68,60,0
20.94144,21.052874,73,69,0
20.94144,21.052874,68,62,0
21.164307,21.277506,75,64,0
21.164307,21.277506,68,57,0
21.164307,21.277506,72,64,0
21.390705,21.503452,68,60,0
21.390705,21.503452,76,67,0
21.390705,21.503452,73,67,0
21.846209,22.069075,81,61,0
21.846209,22.069075,78,54,0
22.069075,22.29194,79,55,0
22.069075,22.29194,76,49,0
22.29194,22.5114,74,54,0
22.29194,22.5114,78,60,0
22.5114,22.729185,76,56,0
22.5114,22.729185,69,50,0
22.729185,22.950327,81,61,0
22.729185,22.950327,78,54,0
22.950327,23.171467,76,49,0
22.950327,23.171467,79,55,0
23.171467,23.390078,78,60,0
23.171467,23.390078,74,54,0
23.390078,23.612944,76,58,0
23.390078,23.612944,69,52,0
23.612944,23.83073,78,55,0
23.612944,23.83073,81,62,0
23.83073,24.051027,79,57,0
23.83073,24.051027,76,51,0
24.051027,24.271324,78,63,0
24.051027,24.271324,74,56,0
24.271324,24.495071,69,53,0
24.271324,24.495071,76,59,0
24.495071,24.712038,81,63,0
24.495071,24.712038,78,56,0
24.712038,24.932335,76,53,0
24.712038,24.932335,79,59,0
24.932335,25.15263,78,63,0
24.932335,25.15263,74,56,0
25.15263,25.376377,76,61,0
25.15263,25.376377,69,54,0
25.376377,25.592516,83,62,0
25.376377,25.592516,86,69,0
25.592516,25.808655,84,63,0
25.592516,25.808655,81,56,0
25.808655,26.028952,83,68,0
25.808655,26.028952,79,61,0
26.028952,26.253569,74,56,0
26.028952,26.253569,81,63,0
26.253569,26.4689,86,71,0
26.253569,26.4689,83,63,0
26.4689,26.684233,84,64,0
26.4689,26.684233,81,57,0
26.684233,26.902018,79,62,0
26.684233,26.902018,83,69,0
26.902018,27.124884,74,59,0
26.902018,27.124884,81,66,0
27.124884,27.3394,83,64,0
27.124884,27.3394,86,72,0
27.3394,27.553915,84,65,0
27.3394,27.553915,81,58,0
27.553915,27.772526,83,71,0
27.553915,27.772526,79,63,0
27.772526,27.987858,74,61,0
27.772526,27.987858,81,68,0
27.987858,28.203997,86,73,0
27.987858,28.203997,83,65,0
28.203997,28.422607,84,68,0
28.203997,28.422607,81,61,0
28.422607,28.641218,79,64,0
28.422607,28.641218,83,72,0
28.641218,28.867617,81,70,0
28.641218,28.867617,74,70,0
28.867617,29.476042,79,92,0
28.867617,29.476042,71,82,0
28.867617,29.476042,67,82,0
29.476042,29.581676,79,86,0
29.476042,29.581676,71,77,0
29.476042,29.581676,67,77,0
29.616886,29.72876,71,77,0
29.616886,29.72876,79,86,0
29.616886,29.72876,67,77,0
29.766052,30.345118,67,83,0
29.766052,30.345118,71,83,0
29.766052,30.345118,79,93,0
30.345118,30.4515,79,86,0
30.345118,30.4515,71,77,0
30.345118,30.4515,67,77,0
30.486961,30.593344,79,85,0
30.486961,30.593344,71,76,0
30.486961,30.593344,67,76,0
30.628805,31.289824,79,92,0
30.628805,31.289824,71,82,0
30.628805,31.289824,67,82,0
31.289824,31.40257,79,82,0
31.289824,31.40257,83,82,0
31.289824,31.40257,71,73,0
31.515318,31.625889,84,87,0
31.515318,31.625889,81,87,0
31.515318,31.625889,72,78,0
31.73646,31.849215,83,85,0
31.73646,31.849215,79,85,0
31.73646,31.849215,71,76,0
31.961523,32.072094,81,87,0
31.961523,32.072094,84,87,0
31.961523,32.072094,72,78,0
32.182663,32.29631,74,81,0
32.182663,32.29631,81,81,0
32.182663,32.29631,69,72,0
32.409954,33.009026,83,101,0
32.409954,33.009026,74,90,0
32.409954,33.009026,86,101,0
33.009026,33.11466,86,94,0
33.009026,33.11466,74,84,0
33.009026,33.11466,83,94,0
33.149868,33.261303,86,94,0
33.149868,33.261303,74,84,0
33.149868,33.261303,83,94,0
33.298447,33.876514,86,102,0
33.298447,33.876514,74,91,0
33.298447,33.876514,83,102,0
33.876514,33.98437,86,94,0
33.876514,33.98437,74,84,0
33.876514,33.98437,83,94,0
34.02181,34.134117,86,93,0
34.02181,34.134117,74,83,0
34.02181,34.134117,83,93,0
34.171555,34.28343,84,93,0
34.171555,34.28343,76,83,0
34.171555,34.28343,88,93,0
34.3953,34.507175,86,86,0
34.3953,34.507175,74,77,0
34.3953,34.507175,83,86,0
34.61905,34.733143,72,81,0
34.61905,34.733143,84,91,0
34.61905,34.733143,81,91,0
34.847237,34.964607,83,85,0
34.847237,34.964607,79,85,0
34.847237,34.964607,71,76,0
34.847237,34.964607,74,85,0
35.081978,35.19935,69,84,0
35.081978,35.19935,74,84,0
35.081978,35.19935,81,94,0
35.081978,35.19935,78,94,0
35.31672,35.434093,79,89,0
35.31672,35.434093,71,80,0
35.31672,35.434093,83,89,0
35.31672,35.434093,74,80,0
35.551464,35.668835,81,94,0
35.551464,35.668835,78,94,0
35.551464,35.668835,69,77,0
35.551464,35.668835,74,77,0
36.020947,36.63037,79,92,0
36.020947,36.63037,67,82,0
36.020947,36.63037,71,82,0
36.63037,36.772217,79,86,0
36.63037,36.772217,67,77,0
36.63037,36.772217,71,77,0
36.772217,36.92138,67,77,0
36.772217,36.92138,79,86,0
36.772217,36.92138,71,77,0
36.92138,37.499947,71,83,0
36.92138,37.499947,67,83,0
36.92138,37.499947,79,93,0
37.499947,37.64129,71,77,0
37.499947,37.64129,67,77,0
37.499947,37.64129,79,86,0
37.64129,37.78263,71,76,0
37.64129,37.78263,67,76,0
37.64129,37.78263,79,85,0
37.78263,38.44709,71,82,0
37.78263,38.44709,67,82,0
